墨问西东的创始人是谁？,池建强。
小墨的视角怎么看大模型技术？,大模型并不是在所有的生成式场景中都是利器，它有自己的局限，尤其是需要确定结果的场景。当下，我们需要思考，大模型技术，对自己的业务来说，在什么样的场景中，能够大放异彩。
AI 大模型项目实战集训班的讲师是谁？,Carry，他是一名 AI 创业者，技术挺牛的，人品也不错。嗯，墨问西东选讲师的时候，会格外在乎人品。著名教育家陶行知先生曾说：“学高为师，身正为范”。这句话说得很好。
那AI大模型项目实战集训班和AI 大模型实战集训班有什么区别？,AI 大模型实战集训班是由徐文浩老师主讲，定位是大模型技术通识课，讲清大模型的来龙去脉，和关键技术原理。而AI大模型项目实战集训班是由 Carry 老师主讲，定位是大模型项目实战课，从名字你也能看出来，这门课直接上代码，带你实现一个智能问答机器人。
徐文浩是谁，可以给我介绍下吗？,徐文浩最近也在做大模型方面的创业。他于 2016 年创立 bothub.ai。之前，曾在拼多多、MediaV等公司工作。徐文浩毕业于上海交通大学计算机系试点班。
AI 大模型项目实战集训班会涉及到什么技术？,挺多的，比如环境搭建、Prompt、Prompt优化、向量数据库、文档拆分、数据召回、OpenAI API、云原生、缓存、LangChain、Llama2、算力平台、Fine-tune、音频交互、钉钉接入等。
能不能简单介绍下 AI 大模型项目实战集训班的设计思路？,带着用户，用案例的方式，做一个生产环境可用的大模型案例。我们会把一个项目，拆为多个递进的版本，v0.1，v0.2，v0.3，v0.4这样。然后每个版本对应解决不同的问题，并呼应相关知识点。在学中练，在练中学。
 可否说下 AI 大模型项目实战集训班上课时间？,整个课程为期 8 周时间，每周上课时间为周四晚上 20:00-22:00。预计 9 月 21 日（周四）开始第一次课，由于中间有一个国庆假期，因此课程会错过国庆假期。预计11月16日结课。
我购买了，然后呢？,记得加班主任瑶瑶的微信，她会为你介绍后续的流程。后面有任何关于课程或者墨问西东的问题，也都可以找她。
怎么加班主任的微信？,扫描下方二维码就可以，她叫瑶瑶。
 AI 大模型项目实战集训班需要什么基础吗？,首先，整个课程都会使用到 Python 语言，你需要对 Python 的语法有一定的理解。其次，咱们是一门大模型方面的课程，在正式课程之前，你最好可以了解下大模型的基本原理，知道它是怎么回事。
 AI 大模型项目实战集训班多少钱？,早鸟价是 599 元，后面会逐步涨价到 899 元。越早买，优惠力度越大。
 AI 大模型项目实战集训班课程是否可以退费？,当然可以，墨问西东不做一锤子买卖。在课程开始之前，你可以随时找班主任申请退费。课程开始之后，因为我们是虚拟商品，如无特殊情况，不会再接受退费。
 AI 大模型项目实战集训班有没有回放？,有的，如果你错过了直播，可以直接看回放。回放视频永久有效。
AI 大模型项目实战集训班需要有什么样的算力环境？,"1、咱们从第一节课开始就需要用到 OpenAI 的 API Key了，这个需要提前申请。OpenAI 现在默认开通了就会有 GPT-3.5 的使用权限，GPT-4 才需要申请。
2、没有 OpenAI 账号的同学，可以自行搞定。如果搞不定，找我们，我们来对接渠道开通（不超过 30 元人民币）。
3、私有化部分，我们就需要用到自己的算力资源了。实操的话，大家可以买个算力资源，一个月估计 100 元人民币差不多了，用完后关机即可。
4、墨问西东会买一部分算力，主要是课程使用。到时候大家也可以公开访问和体验小墨。"
为什么墨问西东会做写作集训班？,第一，墨问西东是一家为创作者服务的公司，所以，我们想通过写作集训班找到更多的创作者。第二，写作集训班能够为公司带来一些营收，我们这不是还要挣钱保证公司正常的经营。
写作集训班的老师是谁？,作家邓安庆。
能介绍下邓安庆老师吗？,邓安庆，1984 年生，湖北武穴人。曾游荡于多个城市之间，从事过广告策划、内刊编辑、企业培训、木材加工、图书编辑、互联网等不同职业，现居北京。已出版书有《纸上王国》《柔软的距离》，在《人民文学（海外版）》《读库》《山花》《上海文学》《花城》《书城》等期刊杂志上发表小说、散文多篇。
为什么墨问西东会请邓安庆来讲课？,总结来说，有四点吧。第一，他是我们很喜欢的 80 后作家，他的文字细腻质朴。第二，他笔下的故乡人和故乡事，纸短情长，简单深刻。第三，他的文字有一种神奇的魔力，总是能让人安静下来。第四，他愿意坦露心扉，和我们分享自己的写作经验。
写作集训班的交付思路是怎么样的？,"以邓安庆老师的个人经验为核心，延伸出可为用户交付的知识点。
邓安庆在写作时，都要面对什么问题？他有什么样的内心活动？他又是怎么解决这个问题的？为了解决问题，看了什么书，或者是做了什么事。具体写作时，遣词造句方面，他有什么考量？内容推进方面，他有什么考量？这些经验比单纯讲写作的方法论会有意思一些。
我们想达到一个什么效果？就是邓安庆在那里写作，然后我们形影不离地跟着他学习，听他讲思考的过程，问他那些我们困惑的问题。贴身模仿高手的做事过程。"
写作集训班什么时候开课？,早已经开课了，8月17日开的。
写作集训班还会有第二期吗？,暂时没有规划了。
写作集训班的助教是谁？,小盖，他是墨问西东的内容负责人。每节课后，他都会给大家总结知识点，同时，也会给大家加餐。
“让时间为你证明”知识星球到底是什么？,简单说，它是一个基于知识星球的年更型内容产品，这个内容产品的名字叫“让时间为你证明”。去年墨问西东创立时，池老师顺势推出了这个产品，到现在，团队已经写了一年半的内容，大概有400万字了吧。
为什么要叫“让时间为你证明”呢？,池老师很喜欢这句话，你不觉得很有力量吗？我们总是想找个一招制敌的方法，但哪有？所以，时间是个好东西，它能说明很多问题。像个农民那样，施肥、浇水、锄地，然后等待时间的犒赏。
“让时间为你证明”具体包含哪些方面的内容？,"这是一个以人为中心，围绕 “个人成长与职业发展” 更新和运营，目前已有 10,000+ 星友加入，截止到7月，让时间为你证明知识星球已更新 91 篇从书中学、64 篇和高人聊，46 篇创业手记，516 篇在事上练，嘉宾回答了1,000+ 个问题，总计 400 万字。
总结下就是，当你或闲暇、或迷茫无措时，你可以和我们一起和探索和交流：
1、从书中学：我们一起每周共读 1 本书，读书是一种生活状态。你可以以很低的成本，和古今中外、各行各业的高手交流，获取灵感、增长知识、消遣时间。
2、和高人聊，我们每周连接 1 位行业高手，连接高手，开拓眼界，信息就是权利，认知就是能力。我们将邀请各行业实战经验丰富的朋友前来分享他们的故事和思考。在这里，你可以补充看待问题的视角，也可以了解别人正在做什么。
3、在事上练，我们每周会分享 3 个接地气的思考，低头做事，抬头看路。在这里，我们会写一些自己的感触和思考，力求能给你启发。只要做事，谁都会遇到问题，我们和嘉宾就把那些问题以及问题的思考坦诚交付给你吧。
4、记录，我们会分享创业和职业发展过程中的故事，记录问题和成长，这是我们在编织梦想过程中的片刻感悟，以及经验总结。如果你想和人交流，那可以来这里看看和写写。
5、认识新朋友，你还可以参加我们线上、线下的链接，我们会组织星友交流和见面会活动。
6、参加分享会，我们每月会组织 1 次星友私享会，找到圈内有具体实战经验和思考框架的人来分享和交流，偏重实战和答疑，聚焦解决现实工作和生活中的具体问题。
7、找专家聊聊，我们星球里现在已经邀请十余位各领域的嘉宾，在这里，我们会像你一个陌生又熟悉的朋友那样，陪伴左右，帮你出出主意。也许你会有些纠缠于心的问题，那可以随时找我们提问和讨论。"
“让时间为你证明”的理念是什么？,有三个。第一，从书中学，在事上练，和高人聊。第二，与其临渊羡鱼，不如退而结网。第三，先做成一件事。
“让时间为你证明”的价格是多少？,价格是999元，直播时会有优惠。目前这个内容已经更新到了第二季，基本上职业发展想过的问题，你都可以在星球中找到。
“让时间为你证明”不满意可以退款吗？,当然可以。三天之内，如果不满意，都可以无条件全额退款。还是那句话，墨问西东不做一锤子买卖。
“从书中学”栏目，都写过什么书呀？,太多了，截止到8月底，一共拆过70本书。有的是人物传记，比如《杜尚传》；有的是管理类，比如《极限控制》；有的是产品类，比如《微信背后的产品观》；有的是小说 ，比如《遥远的救世主》；有的是成长类，比如《李诞的脱口秀手册》；有的是历史类，比如《汴京之围》。
怎么阅读“让时间为你证明”的星球内容？,"我们推荐你下载“知识星球”的 App，把它当成一个信息源，以天为单位阅读我们的内容。在 App 中，你可以顺着我们整理好的菜单读，点击“专栏便捷阅读入口”即可；也可以顺着时间线往下读。强烈推荐你以天为单位和我们交互。
如果你习惯 PC，那在浏览器键入：https://zsxq.com/，即可打开知识星球的 Web 版本。Web版本中，同样有专栏的便捷阅读入口。在一些场景中，推荐你使用星球的搜索功能。比如，你试试搜索“SaaS”，即可找到演讲相关的内容。除了跟随和陪伴外，这里，还是你的一个优质内容库。"
“让时间为你证明”星球买完之后，永久可以阅读吗？,“让时间为你证明”的模式是按年订阅，你购买之后，有效期内可以阅读所有内容。但若到期后没有续费，则不可以再阅读新一季的内容（还可以阅读老的内容）。
能不能简单介绍下“卖桃者说”？,"“卖桃者说”中的“卖桃”源自 MacTalk，像是谐音一样，后来，池老师有时候也开玩笑说自己是卖桃的。2016 年时，池老师开启了一个长期邮件订阅服务，便取名叫“卖桃者说”。今年一月份，我们把卖桃者说服务迁移到了微信上，并通过我们的产品墨问便签为订阅者提供服务。因为国内用户使用打开邮件的频率越来越低了。

“卖桃者说”，是池老师的一些个人思考，内容包括并不限于：产品、创业、读书、摄影、互联网、历史、音乐。目前整个产品一共四辑，时间跨度从 2016 年到 2023 年，池老师承诺这个内容至少会更新到 2033年。"
卖桃者说的价格是多少？,1024元，十年。内容其实从2016年开始就有了，算下来，一年不到100元。这里都是池老师一些细碎的人生思考。
墨问西东的“卖桃者说”和极客时间上的“卖桃者说”有关系吗？,都是池老师创立的。极客时间上的卖桃者说，是免费的，现在已经不更新了。墨问上的“卖桃者说”，是一款不对外的付费产品，更多是池老师的个人思考。二者定位不一样。
墨问读书会是一个什么样的产品？,"墨问读书会是墨问西东推出的读书类内容产品，一项全年的读书计划。具体服务内容包括：
1） 墨问听书：每周交付一本好书， 精选 50 本，以 音频和图文的方式，在墨问便签里交付
2） 读书活动：纵深拓展， 每月 1 个主题读书活动
3） 读书交友：365 天社群陪伴， 从输入到输出，从创作到分享"
为什么要做墨问读书会呢？,"多年下来据我观察：平时爱读书的人，优秀的概率还是更高的。很多人没想明白，把大把的时间浪费在了光怪陆离的短视频上，任推荐算法吞噬自己的时间。看点书，独立思考的概率越大。你看过的书，是你在无限的空间和时间中定位自己的坐标。这事很酷。
读书本身也够浪漫。看过林青霞的一个采访视频，关于读书，她说：“有时候从外头回家会感到一丝丝喜悦。因为有张爱玲等着我，有白先勇等着我，有米兰·昆德拉等着我，有玛格丽特·杜拉斯等着我，有好多好多的作家等着我。”我赶着回家，因为有那么多作家等着我。这个表达也浪漫。
阅读早已经成为我生活的一部分。创业后我每天都很忙。但回到家，还是要读一会儿书，哪怕一两页也行。打开台灯，坐到书桌前，总能收获片刻的宁静。要是再能撞见个好故事，好句子，好词语，那就更开心了，精神快乐。
能从阅读中吸取快乐，能感受到阅读之美，是一个人的重要能力。墨问读书会，就是希望能和朋友们建一个圈子，阅读、交流和碰撞，多做一点更实用，更酷，更浪漫的事。
上面是小盖写的。"
墨问读书会的书和星球里“从书中学”的书有区别吗？,没区别。墨问读书会其实是把星球的读书栏目进一步产品化了，比如加了音频，加了社群，加了直播互动。如果你不想听音频，不想参与社群，那可以不买哈。但如果你已经购买了星球，买咱们的读书会，只需要99元。
墨问读书会的音频是谁负责？,瑶瑶哈，所有的内容都是她转录的。人家的普通话很标准，声音也好听。要不然，小盖来录，他那带着口音的普通话，不把你整生气了？
墨问西东的大师是谁？,大师真名田海，名字中有个海字，让人想起法海，于是大家叫他海大师，后来简化成了大师，毕竟大师更喜欢白娘子而不是法海。所以，很多事看起来无迹可寻，其实皆有缘由。田海现在是墨问西东的 CTO。
田海/大师和池老师是怎么认识的？,"池老师最早认识田海是在锤子科技，那时池老师在锤科云平台管产研团队，部门里十个组，其中的后端组是田海带的。后来池老师来到极客邦创业做极客时间，田海也成长为公司的技术总监，负责的内容更多了，同时进行的大大小小项目几十个，满盘玉珠，你得保证都能转起来，这对一个年轻的团队来说，是很大的挑战。田海成功完成了一次蜕变和升级，而且打造出了一个充满活力的研发团队。
这次池老师开始做墨问西东，大师正式成为公司合伙人和CTO，从零开始构建我们的新产品，这一次是更大的挑战，除了人和一点资源，我们什么都没有，一切归零。"
小盖是谁？,小盖的中文名是郭蕾。他的英文名叫 Gary，之前大家都叫他 Gary，叫的多了，有人就开始就盖瑞。然后有一次，他轮岗做课程顾问，领导要求盖瑞最好起个小 X或者 XX 的名字，于是，他给自己起了：小盖。
郭蕾/Gary/小盖和池老师是怎么认识的？,在极客邦呀。池老师加入极客邦的时候，小盖负责 InfoQ，后来做极客时间，他就开始负责极客时间的内容。
huhu 是谁？,huhu 是墨问西东的运营同事啦。早之前，她在极客时间工作，后来又去了有赞。这次墨问西东创业，她就加入进来负责公司的私域、知识星球、卖桃者说等内容产品。
说说池老师和极客时间的故事？,五年前池老师应邀加入了极客邦科技，与公司的合伙人团队（霍太稳、Selina、Gary）一起了打造极客时间这个产品，2017 年 10 月，极客时间 App 正式上线，后陆续构建极客时间训练营和企业版、InfoQ 写作平台等业务产品，帮助公司完成从媒体公司到集 IT 媒体、数字化人才学习和企业培训的综合性学习平台的战略转型。
那为什么池老师要离开极客时间呢？,池老师一直都有个强烈的愿望：按照自己的心愿创办一家公司。离开时，极客时间的业务、资本，都处在稳定上升的阶段，而池老师已经不年轻了，他想去做自己喜欢的事情。
墨问西东上班打卡吗？,不打卡。我们鼓励自驱，大家创造、为公司做出贡献。
池老师一般几点到公司？,一般11点多，他工作到深夜才离开。
你是谁 / 小墨是什么 / 介绍下你自己 ,我是小墨，是墨问西东打造的一个智能体。我正在努力翻阅公司相关的知识，希望可以帮到大家解答问题。
 顾晨瑶 / 瑶瑶是谁,"瑶瑶是墨问西东的全职员工，年方 18，肤白貌美。加入墨问西东之前，她负责极客时间的训练营业务。再之前，我也不太清楚了。之前，她和池老师聊过一期播客，你感兴趣可以去听听：
https://www.xiaoyuzhoufm.com/episode/632b0aece67030aadb38e231"
