,"满减,3.7.3版本中仅用来表示标示只有一个文字的标示，心动价UI",CutPromote,,,,,
,满赠,MorePromote,,,,,
,加价购，对应多组销,AddMoneyPromote,,,,,
,手机专享，用来区分手机专享、今日秒杀、内部员工的前面的图片。3.7.3仍然在用字段，UI给定的UI,PhonePromote,,,,,
,其他的促销标签。3.7.3仍然在用字，UI显示为红底白字，PricePromoteTag读取内容字段为title，PromoteTagDetail读取content字段，3.5版本购物车嗖嗖直降UI,OtherTagPromote,,,,,
,华润堂商品的标签。有的版本标签对应的是url地址，3.6.5版本之后废弃,GoodsSellerPromote,,,,,
,各个保税仓的标签，3.6.5之后改为只是一个红底白字的标签。3.7.3仍然在用字，UI显示为红字红框白底，PricePromoteTag读取内容字段为title，PromoteTagDetail读取content字段，之前海外购UI,CrcPromote,,,,,
,"员工内部八五折，用来区分手机专享、今日秒杀、内部员工的前面的图片,以前赋值的是OtherTagPromote，现在为该枚举值。3.7.3新增字段，UI给定的UI",EmployeeDiscountPromote,,,,,
,"今日秒杀，用来区分手机专享、今日秒杀、内部员工的前面的图片,以前赋值的是OtherTagPromote，现在为该枚举值。3.7.3新增字段UI给定的UI",TodaySalePromote,,,,,
,促销标签,PromoteTagDetail,Model,,,,
,促销标签类型，取对应的枚举值，3.8.60版本平安健康卡标签类型，红底白字CrcPromote,promoteTags,,,HYModel<PromoteTag>,,
,内容，3.8.60版本“不支持平安健康卡”,content,,,,,
,标签的图片的url地址，优先显示该Url地址,tagImageUrl,,,,,
,优惠券领取状态,CouponStatus,Enum,,,,
,领取,Obtain,,,,,
,未领取,NotObtain,,,,,
,该商品是否被选中，用于赠品中选中UI,SelectedStatus,Enum,,,,
,选中,Selected,,,,,
,未选中,NotSelected,,,,,
,优惠券,Coupon,Model,,,,
,优惠券的id,couponId,,,HYint,,
,优惠券的标题,couponTitle,,,,,
,优惠券限制，暂时用不到,orderFeeLimit,,,,,
,已经领取优惠券的二级标题,standBy5ReCouponCount,,,,,
,"优惠券的有效时间,返回的按照”有效期：yyyy-mm-dd”",couponTime,,,,,
,优惠券的领取状态,couponStatus,,,HYModel<CouponStatus>,,
,优惠券限领的张数，最后冲刺修改字段,couponLimit,,,HYint,,
,已经领取优惠券的数量,hasCoupon,,,HYint,,
,除去优惠券的其他优惠,OtherPromote,Model,,,,
,商品的Id，用于用户去查看该活商品,goodsId,,,HYModel<GoodsID>,,
,促销的id,itemId,,,HYint,,
,优惠名称,promoteName,,,,,
,"优惠数量,返回”1""",promoteNumber,,,HYint,,
,"跳转的Url,或该Url为空,则通过传入id跳转到相应的页面,单独获取协议里面的内容",targetUrl,,,,,
,满赠中赠品对应的imageUrl,imageUrl,,,,,
,"该优惠是否被选中,默认选中一个，则为单选；默认的选中几个则为可以选中几个",selectedStatus,,,HYModel<SelectedStatus>,,
,若是一个加价购时赋值，市场价（marketPrice）返回￥,marketPrice,,,,,
,若是一个加价购时赋值，换购价返回￥,salePrice,,,,,
,若是一个加价购时赋值，是否缺货(如果缺货就不可以勾选）,stockStatus,,,HYModel<StockStatus>,,
,优惠促销,PromoteGroup,Model,,,,
,优惠规则id,promoteRuleId,,,HYint,,
,"促销标签,用来UI判断",promoteTag,,,HYModel<PromoteTag>,,
,标签对应的内容,promoteTagContent,,,,,
,"促销的内容,返回促销的概述,由于优惠券外面显示两个,所以返回一个集合,其他的只读取第一个元素即可",promoteTitle,,,HYList<HYString>,,
,"除去优惠券的其他促销的详细内容,若该集合的size为1时,则概述的UI要有相应的变化,返回内容参见功能列表文档，其中列表中的满减以及可享受以下优惠根据size大小显示",otherPromotes,,,HYList<OtherPromote>,,
,"优惠券集合,只能返回手机端可以使用优惠券",coupons,,,HYList<Coupon>,,
,"可以选择几个赠品,默认选中一个，则为单选；默认的选中几个则为可以选中几个，如果全选中，则selectedStatus全部置为不选",giftNo,,,HYint,,
,评价的级别,CommentRank,Model,,,,
,"评价的星级,返回”好评、中评以及差评”",commentStar,,,,,
,"评价人数,返回”1400””",commentNumber,,,,,
,收藏状态,FavouriteStatus,Enum,,,,
,收藏状态,Favourite,,,,,
,非收藏状态,DisFavourite,,,,,
,库存状态,StockStatus,Enum,,,,
,缺货状态,OutStock,,,,,
,非缺货状态,Sufficient,,,,,
,下架商品,DisableSale,,,,,
,是否含有商品参数、药师点评、药品说明书,ParamStatus,Enum,,,,
,含有商品参数、药师点评、药品说明书,HasParam,,,,,
,不含有商品参数、药师点评、药品说明书,NoParam,,,,,
,规格样式,SpecType,Enum,,,,
,"非隐形眼镜的规格,对应接口的skus返回的结果因，对应UI中超过两行，折叠展示",Normal,,,,,
,"隐形眼镜的除去度数的其他规格,对应接口的skus返回的结果因，对应所有规格完全展示",Whole,,,,,
,隐形眼镜关联的度数，对应接口的relation，隐形眼镜要用picker样式,Picker,,,,,
,3.8.60版本新增， 是否是兑换商品,PointGoodsStatus,Enum,,,,
,不是积分商品,DisPointGoods=0,,,,,
,是积分商品,PointGoods,,,,,
,商品的ID,GoodsID,Model,,,,
,商品的Id或者促销Id,goodsId,,,HYint,,
,"产品Id,如果有哪个就赋值哪个",productId,,,HYint,,
,组销的id，如果有值就赋值,skuId,,,HYint,,
,商品编码，最后冲刺修改字段，由于PC有字符串，所以修改为字符串,goodsNo,,,,,
,积分商品对应的一个主键索引的字段,freeGoodsId,,,HYint,,
,预留一个字段，防止以后有突发事件需要处理,goodsReserved,,,,,
,3.7.50版本新加入字段，用来进行标记北京自测用药的商品multiId=70，非北京自测用药的不赋值该字段; ,multiId,,,,,
,"3.8.40 百分点统计数据来源,3.8.6_0906版本根据drugPrescriptionType字段赋值，判断是否处方药和OTC商品，如果是处方药显示详情页温馨提示。4.1.0_10.26版本，PB为了兼容低版本的基因和体验商品的购买，商品的类型赋值给这个字段，用于PB在低版本的时候提示用户升级APP",pointSource,,,,,
,3.8.60版本新增，是否是兑换商品,pointGoodsStatus,,,HYModel<PointGoodsStatus>,,
,商品的特殊属性,GoodsProperty,Model,,,,
,商品名称,goodsName,,,,,
,订单的最大购买数量,orderLimitAmount,,,HYint,,
,订单的最小购买数量,orderMinNumber,,,HYint,,
,可用库存,availableStock,,,HYint,,
,商品对应的图片url地址,imageUrl,,,,,
,"售价,返回”139.00”",salePrice,,,,,
,"原价,返回""139.00""",marketPrice,,,,,
,品牌,Brand,Model,,,,
,品牌的Id,brandId,,,HYint,,
,品牌logo对应的url,brandImageUrl,,,,,
,"品牌名称,若没有品牌名称或者品牌名称为其他,则返回为空,如果为空,品牌UI不显示,To客户端注意该字段还是商品详情页标题字段，如果为空，标题栏显示为健一网",brandName,,,,,
,"服务器直接返回”已售14,040件”",branchSale,,,,,
,品牌的tag，3.7.3该字段废弃,branchTags,,,HYList<HYString>,,
,品牌的简单介绍，3.7.3新增字段，PC要提供对应后台的品牌介绍详情字段,brandDetail,,,,,
,优惠促销的商品,PromoteGoods,Model,,,,
,商品的Id,goodsId,,,HYModel<GoodsID>,,
,商品的基本属性,goodsProperty,,,HYModel<GoodsProperty>,,
,促销优惠的标签,promoteTags,,,HYList<PromoteTagDetail>,,
,"好评率,服务器返回”好评率100% 1308人”",comment,,,,,
,该商品的标签，除去赠品和加价购不用区分,goodsType,,,HYModel<GoodsType>,,
,每个规格,SpecChild,Model,,,,
,商品的Id,goodsId,,,HYModel<GoodsID>,,
,每个规格下面对应的规格内容,specContent,,,,,
,该规格是否被选中,selectedStatus,,,HYModel<SelectedStatus>,,
,该规格是否缺货,stockStatus,,,HYModel<StockStatus>,,
,订单的最大购买数量,orderLimitAmount,,,HYint,,
,订单的最小购买数量,orderMinNumber,,,HYint,,
,可用库存,availableStock,,,HYint,,
,"组合价格，,返回""139.00""",goodsGroupPrice,,,,,
,单个规格集合，每个规格下对应的是一个商品,SpecGroup,Model,,,,
,"规格的样式,枚举类型，要区分隐形眼镜和非隐形眼镜",specType,,,HYModel<SpecType>,,
,"规格的标题,当只有一种规格的时候,该标题为”已选”,如果有多种规格的话,赋值为相应的规格名",specTitle,,,,,
,规格的集合,specChilds,,,HYList<SpecChild>,,
,人气组合的model，3.7.3才启动的字段，返回所有的人气组合商品,Combination ,Model,,,,
,商品的Id，该字段暂时不用,goodsId,,,HYModel<GoodsID>,,
,商品的数量，该字段暂时不用,goodsAmount,,,,,
,商品的对应的图片的url地址，注意和字段的意义不一样。,goodsGroupPrice,,,,,
,组合商品的名称,goodsGroupName,,,,,
,"组合销售的价格，返回""￥139.00""",goodsPrice,,,,,
,商品参数,GoodsParameter,Model,,,,
,每个参数标题,paramTitle,,,,,
,每个参数的内容,paramContent,,,,,
,"服务条款,3.7.3新增model",MallServiceDescription,Model,,,,
,服务条款的icon,serviceImageUrl,,,,,
,服务的基本介绍,serviceTitle,,,,,
,服务的详细信息介绍,serviceContent,,,,,
,获取商品详情，当有规格变化时，将GoodsID中的字段传入重新请求该协议,MallGoodsSummary,Request,,,,
,"商品的Id,3.8.60版本 goodsId添加了是否是积分商品pointGoodsStatus",goodsId,,,　HYModel<GoodsID>,,
,从服务器返回商品详情；3.8.60版本积分商品详情，根据priceTags获取“活动时间”和“剩余份数”。新增goodsPoints显示积分总数,MallGoodsSummary,Response,,,,
,商品的Id，3.7.3仍然在用字段,goodsId,,,HYModel<GoodsID>,,
,商品的基本属性，3.7.3仍然在用字段,goodsProperty,,,HYModel<GoodsProperty>,,
,"商品的图片列表,返回图片的url地址，3.7.3仍然在用字段",goodsImages,,,HYList<HYString>,,
,"该商品的标签，是处方药还是非处方药,返回GoodsType的枚举值对应的value,注意客户端要用getNumber判断，3.7.3仍然在用字段，客户端用来显示不同的药品标签",goodsType,,,HYint,,
,该商品的标签对应的字符串，用于显示在药品名称前面的字符串，3.7.3才启动的用字段，根据不同商品的类型返回OTC/处方药/香港直邮/xxx保税仓，PB新增逻辑字段，PC要支持返回对应的OTC/处方药/香港直邮/xxx保税仓,goodsTypeString,,,,,
,"商品的标签页对应的描述,该字段可以为空,如果空,则将标签加到商品名前面（对应功能主治），3.7.3仍然在用字段，只不过现在该UI放在商品名称下面，客户端若有值则对应显示UI，没有值该UI隐藏。PB需确认是否取值为功能主治，因为之前可能取得是促销语，PC要支持返回对应功能主治字段",goodsTypeDescription,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,
,评价星级个数，3.7.3该字段客户端不在使用，但PB保持之前的逻辑不变,commentStarNo,,,HYint,,
,"返回评价的总人数,返回”1445”,用于名称下面星级人数的显示以及下面评论区的人数显示，3.7.4仍然在用字段，用于评论区显示评论的人数。3.7.4之前的版本还是只返回好评中评差评；3.7.4版本中该字段返回优先返回好评、中评、差评，有图，3.7.3新增字段，代替commentRanks，PC要支持返回对应的好评、中评、差评，有图的个数，PB转化下百分比，主要为了兼容之前的版本",commentNumber,,,,,
,价格标签，可为空，华润堂的标签要返回第一个元素，3.7.通过PB版本控制，进行重新封装字段,priceTags,,,HYList<PriceTag>,,
,"销售说明,可为空,返回内容参见功能需求列表,现在服务器将根据是否为华润堂商品返回“海外购商品满150元免运费,未满统一收取运费30元”。3.7.3仍然在用字段",saleDescription,,,,,
,"服务,返回内容参见需求列表，3.7.3废弃，使用serviceDescriptions",serviceDescription,,,HYList<HYString>,,
,组销商品的集合，仅仅返回组合商品，原商品不返回。3.7.3才启动的字段，PC要支持返回对应的人气组合商品，仅仅返回对应的组销商品即可，进入组销商品列表时，重新有协议返回，，对应接口的popularCombinationResult,combinations,,,HYList<Combination >,,
,促销优惠，3.7.3仍然在用字段，,promoteDetails,,,HYList<PromoteGroup>,,
,"规格列表,除去隐形眼镜的度数的其他规格，3.7.3仍然在用字段，PB注意做下版本兼容，只有4.3.0之后的版本才把可以显示多个赋值到这里",specGroups,,,HYList<SpecGroup>,,
,当隐形眼镜的度数，默认的返回颜色/Glasses样式的左眼/Glasses养生的右眼，3.7.3仍然在用字段，套餐销售，4.3.0对该字段进行修改，对应接口的combinations字段。该字段意义同隐形眼镜，不去请求协议，但是要更新加入购物车的goodsId，PB注意做下版本兼容，只有4.3.0之后的版本才把combinations赋值到这里,relationSpecGroups,,,HYList<SpecGroup>,,
,"规格说明,返回内容参见功能列表文档，3.7.3废弃",specDescriptions,,,HYList<HYString>,,
,"好评率,返回“97%”,可为空,当为空时,评价区UI为空，3.7.3仍然在用字段，",commentRate,,,,,
,"星级以及星级对应的人数,可为空，优先返回好评、中评、差评，3.7.3仍然在用字段，",commentRanks,,,HYList<CommentRank>,,
,品牌区，3.7.3仍然在用字段，PB字段有修改，增加了品牌的介绍，PC要支持返回对应的品牌介绍，,brand,,,HYModel<Brand>,,
,还买过商品的列表，3.7.3废弃用字段，PB根据高版本号不在返回,broughtGoods,,,HYList<PromoteGoods>,,
,购物车的商品的数量，3.7.3仍然在用字段，4.3.0版本预约清单中商品的数量，字段APP自己根据超过99变成99+，因为这里当把药品加到清单时需要进行一个APP自加操作,cartGoodsNumber,,,HYint,,
,"是否为收藏状态,返回FavoriteStatus的枚举值对应的value,注意客户端要用getNumber判断，3.7.3仍然在用字段，",favoriteStatus ,,,HYint,,
,若是一个收藏过的商品，则需要将该收藏的ID返回，3.7.3仍然在用字段，,favoriteId,,,HYint,,
,"是否为缺货状态,返回StockStatus的枚举值对应的value,注意客户端要用getNumber判断，3.7.3仍然在用字段，客户端要根据该字段进行展示各种UI",stockStatus,,,HYint,,
,最新订单信息，即UI顶部需要显示订单信息的一句话,orderDetail,,,,,
,是否含有商品参数，返回ParamStatus对应value，3.7.3仍然在用字段，,paramStatusValue,,,HYint,,
,华润堂商品海外购流程的图片的url地址，3.7.3仍然在用字段，,goodsSellerImageUrl,,,,,
,如果有今日秒杀，返回活动的剩余时间，3.7.3新增字段，PB新增逻辑字段，PC要支持返回秒杀活动的剩余时间，或者PB按照之前的封装今日秒杀字段的标签字段时，给该字段赋值,todaySaleRestTime,,,,,
,促销描述字段（对应商品促销字段），3.7.3新增字段，PB新增逻辑字段。客户端若有值则对应显示UI，没有值该UI隐藏，PC要支持将促销用语返回,goodsPromoteDescription,,,,,
,服务说明，注意在不支持平安健康卡要根据新老用户返回，3.7.3新增字段，代替serviceDescription，PC要支持将服务说明信息返回。,serviceDescriptions,,,HYList<MallServiceDescription>,,
,返回药品说明书，区别于商品参数，仅仅返回含有用法用量和功能主治的对应的字段，，3.7.3新增字段，客户端根据该值来确定药品说明书的UI是否存在,drugDescriptionParameters,,,HYList<GoodsParameter>,,
,药师点评的内容，3.7.3新增字段，客户端根据该值来确定药师点评的UI是否存在，,pharmacistComment,,,,,
,"仅仅根据stockStatus为DisableSale状态时，才返回猜你喜欢的商品，3.7.3新增字段，当为下架商品，此时仅返回stockStatus字段即可，PB封装百分点,仅返回商品iD、favoriteStatus、favoriteId、GoodsProperty中的除去orderLimitAmount、orderMinNumber、availableStock字段即可",canBuyGoodses,,,HYList<PromoteGoods>,,列表的商品。由于MallHome中引用了MallGoods，所以在MallGoods不能在引用MallHome的model，所以重新定义model。3.7.3新增model
,3.8.50首页版本增加，海外购商品的重量，包含单位kg。客户端将该字段传入GoodsParameter协议中，封装到返回的集合的后面,weight,,,,,
,3.8.60版本，积分商品积分值，PB返回“230000积分”,goodsPoints,,,,,
,4.1.0_20171116版本新增字段，华润堂商品海外购流程的图片goodsSellerImageUrl点击时跳转地址,goodsSellerTargetUrl,,,,,
,规格描述，4.3.0版本新增字段，用来进行规格描述，客户端根据该字段是否有值进行显示规格处的UI,specGroupDes,,,,,
,领取优惠券,ObtainCoupon,Request,,,,
,商品的Id，直接从GoodsID中取值,goodsId,,,　HYModel<GoodsID>,,
,优惠券的id,couponId,,,HYint,,
,"服务器返回是否成功领取优惠券,客户端通过服务器返回的状态去简单的本地更新UI",ObtainCoupon,Response,,,,
,加入收藏,AddFavourite,Request,,,,
,商品的Id,goodsId,,,　HYModel<GoodsID>,,
,服务器返回是否收藏成功,AddFavourite,Response,,,,
,收藏成功之后返回的返回收藏成功的id,favoriteId,,,HYint,,
,取消收藏,CancelFavourite,Request,,,,
,如果取消收藏，返回收藏成功的id要传到服务器,favoriteId,,,HYint,,
,服务器返回是否收藏成功,CancelFavourite,Response,,,,
,选中的赠品或者加价购的商品的参数,PromoteIDs,Model,,,,
,优惠活动的id，因为商品详情页没法区分是单品还是组的加价购，由于组的加价购需要跟购物车的商品有关系，所以该改字段只传goodsId即可,promoteRuleId,,,HYint,,
,优惠子活动的id，对于商品详情页该字段废弃,itemId,,,HYint,,
,"赠品的id，加价购，如果用户选择了非默认的赠品时，要将多个赠品，则将赠品Id之间用”,”隔开",goodsId,,,,,
,商品的GoodsID,goodsIdM,,,HYModel<GoodsID>,,
,购物车编辑类型,EditGoodsType,Enum,,,,
,勾选与否的操作,SelectType,,,,,
,增减数量的操作,UpdateType,,,,,
,传入给购物车的操作,EditGoodsM,Model,,,,
,商品的GoodsID,goodsId,,,HYModel<GoodsID>,,
,商品的修改之后的数量，若对一个未选中的商品进行编辑操作，不需要将该商品置为选中状态,amount,,,HYint,,
,对商品进行编辑还是选择，主要用于购物车,editGoodsType,,,HYModel<EditGoodsType>,,
,商品是选中还是取消选中,selectedStatus,,,HYModel<SelectedStatus>,,
,加入购物车,AddShoppingCart,Request,,,,
,传入对商品的操作，因为隐形眼镜要区分左右眼，所以以集合形式传入,editGoods,,,HYList<EditGoodsM>,,
,赠品（加价购）的集合,promoteIDs,,,HYList<PromoteIDs>,,
,"4.3.0新增字段,判断是否处方药,GoodsType的Value值",goodsType,,,HYint,,
,服务器返回是否加入购物车,AddShoppingCart,Response,,,,
,"购物车中商品的总数量,包括不选中，4.3.0版本，预约清单商品总数量",addGoodsCount,,,HYint,,
,到货提醒C2S,ArrivalReminder,Request,,,,
,商品的Id,goodsId,,,　HYModel<GoodsID>,,
,手机号码,phone,,,,,
,需要的数量，3.7.3新增字段，PC需要支持将该数量,goodsNumber,,,HYint,,
,订货人的姓名，传入utf-格式,userName,,,,,
,服务器返回是否到货提醒成功,ArrivalReminder,Response,,,,
,咨询药师,ConsultPharmacist,Request,,,,
,商品的Id,goodsId,,,　HYModel<GoodsID>,,
,手机号码,phone,,,,,
,服务器返回是否咨询药师,ConsultPharmacist,Response,,,,
,商品参数,GoodsParameter,Request,,,,
,商品的Id,goodsId,,,　HYModel<GoodsID>,,
,服务器返回商品参数,GoodsParameter,Response,,,,
,返回商品的所有参数,goodsParameters,,,HYList<GoodsParameter>,,
,优惠活动页面以及品牌介绍页,PromoteDetail,CacheBean,,,,
,商品的排序,Sort,Enum,,,,
,综合,AllSort,,,,,
,销量,SaleSort,,,,,
,价格从低到高,Low2HighSort,,,,,
,价格从高到低,High2LowSort,,,,,
,"筛选,待定",FilterSort,,,,,
,4.1.0版本新增字段，评论从少到多,AscEvaluateSort,,,,,
,4.1.0版本新增字段，评论从多到少,DesEvaluateSort,,,,,
,获取满减/满赠/多够惠的所有商品,AllPromoteGoods,Request,,,,
,商品的Id,goodsId,,,　HYModel<GoodsID>,,
,优惠活动的id,promoteRuleId,,,HYint,,
,优惠子活动的id,itemId,,,HYint,,
,分页加载,currentPage,,,HYint,,
,"按照综合/销量/价格/筛选等的一个重新获取,传入的是Sort的枚举值对应的value,",sortValue,,,HYint,,
,筛选的条件，待定,condition,,,,,
,服务器返回获取满减的所有类型,AllPromoteGoods,Response,,,,
,"优惠的标题,返回”m件惠享n折”",otherPromoteTitle,,,,,
,购物车的商品的数量,otherPromoteCartNo,,,HYint,,
,满赠赠品集合满赠  加价购 gifts 需要GoodsProperty goodsName marketPrice    和 PromoteGoods goodsId,gifts,,,HYList<PromoteGoods>,,
,优惠商品的列表,otherPromotes,,,HYList<PromoteGoods>,,
,总共的页数,otherPromoteTotalPage,,,HYint,,
,评价页面,CommentDetail,CacheBean,,,,
,评价的分类标记,CommentTag,Enum,,,,
,全部,AllComment,,,,,
,好评,HighComment,,,,,
,中评,MiddleComment,,,,,
,差评,NegativeComment,,,,,
,有图，3.7.3版本新增字段,ImageComment,,,,,
,评价的分类的model,CommentTitle,Model,,,,
,标题,title,,,,,
,个数,number,,,HYint,,
,标记,tag,,,HYModel<CommentTag>,,
,评价的单个内容,CommentContent,Model,,,,
,评论的id,commentId,,,HYint,,
,"用户名,服务器返回的时候密文返回",commentName,,,,,
,用户名的头像Url地址,userImageUrl,,,,,
,用户评价的星级个数,commentStarNumber,,,HYint,,
,"用户评价的时间,服务器按照’yyyy-mm-dd’返回",commentTime,,,,,
,用户评价的内容,commentDetails,,,,,
,评价图片的小图imageUrl地址，3.7.3版本PB需要增加有图的url地址，PC需要支持将相关上传图片的url地址,commentImageUrls,,,HYList<HYString>,,
,评价图片的大图imageUrl地址，3.7.3版本PB需要增加有图的url地址，PC需要支持将相关上传图片的url地址,commentBigImageUrls,,,HYList<HYString>,,
,获取所有的评价列表,AllComment,Request,,,,
,分页加载,currentPage,,,HYint,,
,"传入的是CommentTag的枚举值对应的value,注意客户端要用getNumber判断",commentTag,,,HYint,,
,商品的id,goodsId,,,　HYModel<GoodsID>,,
,服务器返回获取所有的评价列表,AllComment,Response,,,,
,全部/好评/定义成一个Model集合，3.7.3废弃字段，采用commentTitleContainImgs,commentTitles,,,HYList<CommentTitle>,,
,评论内容定义成一个集合,commentContents,,,HYList<CommentContent>,,
,评价的总页数,commentTotalPage,,,HYint,,
,全部/好评/定义成一个Model集合，3.7.3版本PB需要增加有图的个数，代替commentTitles，PC需要支持返回对应的全部、好评等的数量,commentTitleContainImgs,,,HYList<CommentTitle>,,
,商品详情页,MallGoodsDetail,CacheBean,,,,
,商品详情页,MallGoodsDetail,Request,,,,
,商品的Id，直接从GoodsID中取值，3.8.6_0906版本之后该字段不传值,goodsId,,,HYint,,
,产品Id，如果没有该Id，则不传，直接从GoodsID中取值，3.8.6_0906版本之后该字段不传值,productId,,,HYint,,
,3.8.6_0906版本之后都传该字段，商品id的model,goodsDetailId,,,　HYModel<GoodsID>,,
,"商品详情页,3.7.40版本以及以上如果无数据的情况，status返回为0，不在返回非0的错误码",MallGoodsDetail,Response,,,,
,还买过商品的列表，该字段废弃，一直没用,broughtGoods,,,HYList<PromoteGoods>,,
,"图文详情的url或者字符串,这边待定一下，该字段返回的就是html标签，3.8.6_0906版本根据goodsId里面的pointSource来判断是否是OTC和处方药商品，如果是OTC或处方药商品，需加’’温馨提示：部分商品包装更换频繁，如货品与图片 不完全一致，请以收到的商品实物为准，本商城确保商品为原厂正品。’’",imageUrl,,,,,
,"猜你喜欢的商品，最多20个，百分点提供，3.7.3新增字段,注意这里要封装GoodsType字段，PB进行封装百分点,仅返回商品iD、GoodsProperty中的除去orderLimitAmount、orderMinNumber、availableStock字段即可",canBuyGoodses,,,HYList<PromoteGoods>,,
